row_id,detector_positive,label,stratum,stratum_pop,task_id,config,model_id,seed
af0b123173334579,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k2_date_rounding,sc,gemini-3.5-flash,1004
d359453c443f083a,False,I1,parseable_label,14678,data_activeusers_001_k1_active_user_threshold,single,gpt-5.6-sol,2000
4279efa0e321261a,False,I4,parseable_label,14678,code_invoice_001_k1_fiscal_year_start,verifier,gpt-5.4,2003
c2f59808b75e688a,False,I_perp,iperp_recall_risk,1767,code_roundcurr_001_k1_rounding_standard,homogeneous-MAD,claude-opus-4.8,3001
9953a3d901e632ae,False,I_perp,iperp_recall_risk,1767,data_report_001_k2_all,sc,gpt-4o-mini,1
54f9dbfc79849357,False,I0,parseable_label,14678,data_activeusers_001_k0,sc,gemini-3.5-flash,1003
1b9886004038cdb7,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k2_fiscal_date,interpretation-diverse,gpt-4o-mini,2002
c093ebdd07d23015,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k1_rounding_standard,verifier,gpt-5.6-sol,2003
9abb7b4a09febd2e,False,I0,parseable_label,14678,code_roundcurr_001_k0,heterogeneous-MAD,gpt-5.4,3003
2aa0599125c7845e,False,I2,parseable_label,14678,code_invoice_001_k1_date_format_convention,homogeneous-MAD,gpt-5.6-sol,3000
39bf071de6702b58,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k3_all,homogeneous-MAD,gpt-5.4,3004
5897a9954b6221b2,False,I0,parseable_label,14678,data_cumulative_001_k1_cumulative_interpretation,homogeneous-MAD,gpt-5.6-sol,3003
88f9dc6d1c9f461c,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k3_all,interpretation-diverse,gpt-4o-mini,5
e92162ceebcd6ae0,False,I1,parseable_label,14678,policy_tip_001_k1_tip_base,sc,claude-opus-4.8,1003
546980b9172465c3,False,I_perp,iperp_recall_risk,1767,data_report_001_k1_active_user_threshold,interpretation-diverse,gpt-4o-mini,0
