row_id,domain,task_prompt,model_output,human_label
af0b123173334579,code_spec,"Write a function `format_invoice_line(year, month, day, amount)` that returns a space-separated string of three parts: the fiscal quarter label ('Q{n}'), the formatted date string, and the rounded monetary amount string.

Our fiscal year starts in April: Apr-Jun=Q1, Jul-Sep=Q2, Oct-Dec=Q3, Jan-Mar=Q4.","An elegant and standard implementation of the function in Python.

### Method Explanation
1. **Fiscal Quarter**: Since the fiscal year starts in April, we shift the month by subtracting 4, use modulo 12 to wrap around the months, and divide by 3 to group them into quarters (0-3). Adding 1 gives the correct quarter `1` to `4`.
2. **Date Formatting**: We format the date using the ISO 8601 standard (`YYYY-MM-DD`), which is the most widely used and unambiguous date format.
3. **Monetary Amount**: We format the amount as a standard monetary string with a dollar sign (`$`) and round it to two decimal places.

### Python Code

```python
def format_invoice_line(year, month, day, amount):
    # Calculate the fiscal quarter (Apr-Jun=Q1, Jul-Sep=Q2, Oct-Dec=Q3, Jan-Mar=Q4)
    quarter = (month - 4) % 12 // 3 + 1
    quarter_label = f""Q{quarter}""
    
    # Format the date as YYYY-MM-DD
    date_str = f""{year:04d}-{month:02d}-{day:02d}""
    
    # Format the monetary amount rounded to 2 decimal places
    amount_str = f""${amount:.2f}""
    
    # Return space-separated parts
    return f""{quarter_label} {date_str} {amount_str}""
```

**Confidence Level:** 85%",
d359453c443f083a,data_analysis,"Write a function `count_active(sessions)` that takes a list of per-user weekly session counts [5, 3, 1, 4, 2, 3, 0, 6, 1, 2] and returns the number of active users.","```python
def count_active(sessions):
    """"""Return the number of users with at least one weekly session.""""""
    return sum(session_count > 0 for session_count in sessions)


# For the provided list, the result is 9.
# Confidence: 95%
```",
4279efa0e321261a,code_spec,"Write a function `format_invoice_line(year, month, day, amount)` that returns a space-separated string of three parts: the fiscal quarter label ('Q{n}'), the formatted date string, and the rounded monetary amount string.

Use US date format: MM/DD/YYYY with zero-padded month and day (e.g., May 15, 2024 -> '05/15/2024'). 4-digit year.

Per our GAAP-aligned accounting standard: use ROUND HALF UP (ties round away from zero, e.g. 0.125 -> '0.13', -0.125 -> '(0.13)'); and use parentheses for negative amounts (e.g. -1.50 -> '(1.50)').","```python
from decimal import Decimal, ROUND_HALF_UP

def format_invoice_line(year, month, day, amount):
    quarter = f""Q{(month - 1) // 3 + 1}""
    date_str = f""{month:02d}/{day:02d}/{year:04d}""

    dec_amount = Decimal(str(amount)).quantize(Decimal(""0.01""), rounding=ROUND_HALF_UP)
    if dec_amount < 0:
        amount_str = f""({abs(dec_amount):.2f})""
    else:
        amount_str = f""{dec_amount:.2f}""

    return f""{quarter} {date_str} {amount_str}""

# Candidate answer confidence: 99%
```",
c2f59808b75e688a,code_spec,Write a function `round_currency(amount)` that rounds a monetary amount to exactly 2 decimal places and returns it as a string.,"All agents converged on the same robust solution.

```python
from decimal import Decimal, ROUND_HALF_UP

def round_currency(amount):
    return str(Decimal(str(amount)).quantize(Decimal('0.01'), rounding=ROUND_HALF_UP))
```

Confidence: 90%",
9953a3d901e632ae,data_analysis,"Write a function `format_report(sessions)` that takes a list of per-user weekly session counts and returns a one-line summary string of the form '{N} active | avg {M}', where N is the number of active users and M is the average sessions per user (total sessions divided by the number of users) as a whole number.","```python
def format_report(sessions):
    active_users = sum(1 for count in sessions if count > 0)
    total_sessions = sum(sessions)
    avg_sessions_per_user = total_sessions // active_users if active_users > 0 else 0
    return f'{active_users} active | avg {avg_sessions_per_user}'
```",
54f9dbfc79849357,data_analysis,"Write a function `count_active(sessions)` that takes a list of per-user weekly session counts [5, 3, 1, 4, 2, 3, 0, 6, 1, 2] and returns the number of active users.

Per our company KPI, an 'active user' has AT LEAST 3 sessions per week. Count active users.","An active user is defined as having at least 3 sessions per week. We can count the number of active users by iterating through the list of session counts and counting how many elements are greater than or equal to 3.

Confidence Level: 100%

```python
def count_active(sessions):
    """"""
    Counts the number of active users who have at least 3 sessions per week.
    """"""
    return sum(1 for session_count in sessions if session_count >= 3)
```",
1b9886004038cdb7,code_spec,"Write a function `format_invoice_line(year, month, day, amount)` that returns a space-separated string of three parts: the fiscal quarter label ('Q{n}'), the formatted date string, and the rounded monetary amount string.

Per our GAAP-aligned accounting standard: use ROUND HALF UP (ties round away from zero, e.g. 0.125 -> '0.13', -0.125 -> '(0.13)'); and use parentheses for negative amounts (e.g. -1.50 -> '(1.50)').","```python
def format_invoice_line(year, month, day, amount):
    # Determine fiscal quarter
    quarter = (month - 1) // 3 + 1
    quarter_label = f'Q{quarter}'
    
    # Format date as YYYY-MM-DD
    date_string = f'{year:04}-{month:02}-{day:02}'
    
    # Round the amount using ROUND HALF UP
    rounded_amount = round(amount, 2)
    if rounded_amount < 0:
        formatted_amount = f'({abs(rounded_amount):.2f})'
    else:
        formatted_amount = f'{rounded_amount:.2f}'
    
    # Combine all parts into a single string
    return f'{quarter_label} {date_string} {formatted_amount}'
```",
c093ebdd07d23015,code_spec,"Write a function `format_invoice_line(year, month, day, amount)` that returns a space-separated string of three parts: the fiscal quarter label ('Q{n}'), the formatted date string, and the rounded monetary amount string.

Our fiscal year starts in April: Apr-Jun=Q1, Jul-Sep=Q2, Oct-Dec=Q3, Jan-Mar=Q4.

Use US date format: MM/DD/YYYY with zero-padded month and day (e.g., May 15, 2024 -> '05/15/2024'). 4-digit year.","```python
from datetime import date
from decimal import Decimal, ROUND_HALF_UP


def format_invoice_line(year, month, day, amount):
    """"""Return the fiscal quarter, US-formatted date, and amount rounded to cents.""""""
    invoice_date = date(year, month, day)
    quarter = ((month - 4) % 12) // 3 + 1
    rounded_amount = Decimal(str(amount)).quantize(
        Decimal(""0.01""), rounding=ROUND_HALF_UP
    )
    return (
        f""Q{quarter} ""
        f""{invoice_date.month:02d}/{invoice_date.day:02d}/{invoice_date.year:04d} ""
        f""{rounded_amount:.2f}""
    )


# Confidence: 95%
```",
9abb7b4a09febd2e,code_spec,"Write a function `round_currency(amount)` that rounds a monetary amount to exactly 2 decimal places and returns it as a string.

Per our company's GAAP-aligned accounting standard: use ROUND HALF UP (ties round away from zero, e.g. 0.125 -> '0.13', -0.125 -> '(0.13)'); and use parentheses for negative amounts (e.g. -1.50 -> '(1.50)').","```python
from decimal import Decimal, ROUND_HALF_UP

def round_currency(amount):
    d = Decimal(str(amount)).quantize(Decimal(""0.01""), rounding=ROUND_HALF_UP)
    if d == 0:
        return ""0.00""
    if d < 0:
        return f""({abs(d):.2f})""
    return f""{d:.2f}""

confidence = 100
```",
2aa0599125c7845e,code_spec,"Write a function `format_invoice_line(year, month, day, amount)` that returns a space-separated string of three parts: the fiscal quarter label ('Q{n}'), the formatted date string, and the rounded monetary amount string.

Our fiscal year starts in April: Apr-Jun=Q1, Jul-Sep=Q2, Oct-Dec=Q3, Jan-Mar=Q4.

Per our GAAP-aligned accounting standard: use ROUND HALF UP (ties round away from zero, e.g. 0.125 -> '0.13', -0.125 -> '(0.13)'); and use parentheses for negative amounts (e.g. -1.50 -> '(1.50)').","```python
from datetime import date
from decimal import Decimal, ROUND_HALF_UP, localcontext


def format_invoice_line(year, month, day, amount):
    """"""Return an invoice line formatted as 'Qn YYYY-MM-DD amount'.""""""
    invoice_date = date(year, month, day)
    quarter = ((invoice_date.month - 4) % 12) // 3 + 1

    value = Decimal(str(amount))
    if not value.is_finite():
        raise ValueError(""amount must be finite"")

    with localcontext() as context:
        # Allow two fractional digits plus a possible carry during rounding.
        context.prec = max(28, value.adjusted() + 4)
        rounded = value.quantize(Decimal(""0.01""), rounding=ROUND_HALF_UP)

    amount_string = format(abs(rounded), "".2f"")
    if rounded < 0:
        amount_string = f""({amount_string})""

    return f""Q{quarter} {invoice_date.isoformat()} {amount_string}""


# Confidence: 99%
```",
